Time_s,AccelX_g,AccelY_g,AccelZ_g,GyroX_deg_s,GyroY_deg_s,GyroZ_deg_s,Pressure_hPa,Temperature_C,Humidity_%,TotalAccel,FlightStarted,altitude,velocity,theta,angular_velocity,mass,thrust,drag,parachute_deployed
0.0,-0.014966759200696674,-0.0029148397607889447,2.7085075772601823,0.013955210252643385,-0.007093692605019036,0.0006957155300481721,1013.25,15.0,50.476753846581325,2.7085504972674266,0,0.0,0.0,-0.0008020027255502571,0.10686696722196433,7.5,200.0,0.0,False
0.02,-0.0007904433815299766,0.005278497147941228,2.71701603024266,0.02529900829309868,0.008356380659802452,-0.006580180553355761,1013.249936567704,14.999996569050268,46.11241077304633,2.7170212726308316,0,0.0005278384224161255,0.1334604753356356,0.010760990350107583,1.2890926262539983,7.483333333333333,200.0,5.454887001515251e-05,False
0.04,0.008074522138547337,0.006355422609935781,2.732176267502083,0.004064843569132377,-0.010513374199266592,-0.0015822794256483365,1013.2492087492767,14.999957202522808,54.68341947235606,2.7321955907302704,0,0.006584227260006024,0.47237692384267593,0.029934356458845294,0.8081771984346285,7.466666666666667,200.0,0.000683372532354418,False
0.06,-0.0013554423107835674,-0.006080133623790498,2.7389097304389374,0.020351370311007526,-0.0034516823581564825,-0.007334437382229018,1013.2476649221253,14.999873699320801,56.37635875698481,2.7389168144983587,0,0.019430873726547816,0.8124865285992315,0.045650915822550424,0.74419417675524,7.45,200.0,0.0020216779449991006,False
0.08,0.0022794779054052215,4.678122122019542e-05,2.7529749975868176,0.013156731628991346,-0.0005840489363717433,0.0061226649109744685,1013.2453022160516,14.99974590403599,39.93077385088503,2.752975941694032,0,0.03909168677235439,1.1537927192865927,0.06082186887424896,0.7547526374438623,7.433333333333334,200.0,0.0040769407849665165,False
0.1,-0.001449726051572832,-0.024285377625373243,2.7638502109412926,0.012715139022577223,-0.0059059489393609175,-0.010871804949351875,1013.2421177579564,14.999573661015177,40.99511994582885,2.7639572843646225,0,0.06559061305034136,1.4962989230660326,0.07597243662203332,0.7626000168388235,7.416666666666666,200.0,0.0068566887671429756,False
0.12,-0.007602401540424481,0.010858638698275474,2.7399171627039522,0.013969903295720985,0.01124933892078142,0.0011776728165246348,1013.2381086547663,14.999356813435952,47.43925536239486,2.739949226723597,0,0.09895177908274404,1.8400085891253415,0.09291964911378625,0.9303523616808077,7.4,200.0,0.010368502079473882,False
0.14,0.010759059898478123,-0.02285473898539405,2.7665629390713296,0.01517638296739071,-0.006246779817493885,0.02211886495463809,1013.2332720275804,14.999095205152344,44.68006932022217,2.766678259629584,0,0.13919920733258323,2.1849251395885174,0.11100236721952696,0.8700727246412302,7.383333333333333,200.0,0.014620013143605434,False
0.16,0.004905455418570706,0.0044101351549900355,2.783994743430007,0.004212422318973185,-0.005187094124579434,-0.025077404784600334,1013.2276049925489,14.998788679659754,52.18195589931045,2.784002558229942,0,0.18635697542138208,2.531051996167491,0.1285208384069592,0.8823024779344053,7.366666666666667,200.0,0.01961890692736704,False
0.18,-0.004956254326176428,0.009521625495019944,2.765524926708295,0.034233616953581465,-0.010218101618631275,-0.016707643539211926,1013.2211046354527,14.998437078718837,50.838174820743184,2.76554575916833,0,0.24044942786859866,2.878392617793319,0.1460031856764497,0.8645665805314896,7.35,200.0,0.025372921787284564,False
